Name	Default	Flags	Dimensions	Type	Comment
GLOBAL:Conventions	SOFA	rm	  	attribute	
GLOBAL:Version	1.0	rm	 	attribute	
GLOBAL:SOFAConventions	SingleRoomDRIR	rm	  	attribute	This convention stores arbitrary number of receivers while providing an information about the room. The main application is to store DRIRs for a single room.
GLOBAL:SOFAConventionsVersion	0.3	rm	  	attribute	
GLOBAL:APIName		rm	  	attribute	
GLOBAL:APIVersion		rm	  	attribute	
GLOBAL:ApplicationName			  	attribute	
GLOBAL:ApplicationVersion			  	attribute	
GLOBAL:AuthorContact		m	  	attribute	
GLOBAL:Comment		m	 	attribute	
GLOBAL:DataType	FIR	rm	  	attribute	
GLOBAL:History			 	attribute	
GLOBAL:License	No license provided, ask the author for permission	m	  	attribute	
GLOBAL:Organization		m	  	attribute	
GLOBAL:References				attribute	
GLOBAL:RoomType	reverberant	m	  	attribute	
GLOBAL:Origin				attribute	
GLOBAL:DateCreated		m	 	attribute	
GLOBAL:DateModified		m	 	attribute	
GLOBAL:Title		m		attribute	
ListenerPosition	[0 0 0] 	m	IC, MC	double	
ListenerPosition:Type	cartesian	m	  	attribute	
ListenerPosition:Units	metre	m	  	attribute	
ReceiverPosition	[0 0 0]	m	rCI, rCM	double	
ReceiverPosition:Type	cartesian	m	  	attribute	
ReceiverPosition:Units	metre	m	  	attribute	
SourcePosition	[0 0 0]	m	IC, MC	double	
SourcePosition:Type	cartesian	m	  	attribute	
SourcePosition:Units	metre	m	  	attribute	
EmitterPosition	[0 0 0]	m	eCI, eCM	double	
EmitterPosition:Type	cartesian	m	  	attribute	
EmitterPosition:Units	metre	m	  	attribute	
GLOBAL:DatabaseName		m	  	attribute	
GLOBAL:RoomDescription		m	  	attribute	
ListenerUp	[0 0 1]	m	IC, MC	double	
ListenerView	[1 0 0]	m	IC, MC	double	
ListenerView:Type	cartesian	m		attribute	
SourceUp	[0 0 1]	m	IC, MC	double	
SourceView	[-1 0 0]	m	IC, MC	double	
SourceView:Type	cartesian	m		attribute	
Data.IR	[0 0]	m	mRn	double	
Data.SamplingRate	48000	m	I	double	
Data.SamplingRate:Units	hertz	m		attribute	
Data.Delay	[0 0]	m	IR, MR	double	
